,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_dual,param_loss,param_penalty,param_tol,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,C,dual,loss,penalty,tol
0,9.561771869659424,0.32853823686623995,0.0,0.0,0.001,True,hinge,l1,0.001,,,,,,,,73,0.001,True,hinge,l1,0.001
1,8.58996844291687,2.0561358864976236,0.0,0.0,0.001,True,hinge,l1,0.0001,,,,,,,,73,0.001,True,hinge,l1,0.0001
2,9.356974363327026,1.8707618351420723,0.0,0.0,0.001,True,hinge,l1,1e-05,,,,,,,,73,0.001,True,hinge,l1,1e-05
3,8.86452283859253,1.874756711829947,1.8971802711486816,0.9639798367229692,0.001,True,hinge,l2,0.001,0.2840843547224225,0.26620403749098775,0.2899963950973324,0.2835796683489546,0.2713410237923576,0.27904109589041093,0.008833265070026013,55,0.001,True,hinge,l2,0.001
4,9.076469039916992,0.9001533282098598,1.9090178966522218,0.5781763252210445,0.001,True,hinge,l2,0.0001,0.2780100937274694,0.26715933669790914,0.25115356885364093,0.2821917808219178,0.2916366258111031,0.2740302811824081,0.013877940773228256,57,0.001,True,hinge,l2,0.0001
5,22.07270154953003,4.242547856713141,2.3933321475982665,1.0635664464726131,0.001,True,hinge,l2,1e-05,0.27781182408074984,0.26095890410958905,0.28046142754145637,0.2696106705118962,0.2795602018745494,0.27368060562364815,0.007429969382462122,58,0.001,True,hinge,l2,1e-05
6,10.866223526000976,2.365488882788702,0.0,0.0,0.001,True,squared_hinge,l1,0.001,,,,,,,,73,0.001,True,squared_hinge,l1,0.001
7,8.195358228683471,0.8801839646228052,0.0,0.0,0.001,True,squared_hinge,l1,0.0001,,,,,,,,73,0.001,True,squared_hinge,l1,0.0001
8,5.038527488708496,0.67172486570565,0.0,0.0,0.001,True,squared_hinge,l1,1e-05,,,,,,,,73,0.001,True,squared_hinge,l1,1e-05
9,10.826345300674438,2.7425835493083786,2.1678444385528564,0.7018651646369486,0.001,True,squared_hinge,l2,0.001,0.406705118961788,0.4076964671953857,0.4071016582552271,0.4049206921413122,0.40829127613554433,0.4069430425378514,0.0011451681316519723,44,0.001,True,squared_hinge,l2,0.001
10,9.324894380569457,0.6494969983565939,2.0339465618133543,0.773062536984966,0.001,True,squared_hinge,l2,0.0001,0.406705118961788,0.4076964671953857,0.4071016582552271,0.4049206921413122,0.40829127613554433,0.4069430425378514,0.0011451681316519723,44,0.001,True,squared_hinge,l2,0.0001
11,10.122458362579346,2.137808048196478,2.596262264251709,0.923482714090972,0.001,True,squared_hinge,l2,1e-05,0.406705118961788,0.4076964671953857,0.4071016582552271,0.4049206921413122,0.40829127613554433,0.4069430425378514,0.0011451681316519723,44,0.001,True,squared_hinge,l2,1e-05
12,5.7603724002838135,0.7313713988316684,0.0,0.0,0.001,False,hinge,l1,0.001,,,,,,,,73,0.001,False,hinge,l1,0.001
13,5.54298734664917,0.523085107259836,0.0,0.0,0.001,False,hinge,l1,0.0001,,,,,,,,73,0.001,False,hinge,l1,0.0001
14,5.872363948822022,2.1305981394779963,0.0,0.0,0.001,False,hinge,l1,1e-05,,,,,,,,73,0.001,False,hinge,l1,1e-05
15,6.93493332862854,2.413877779277487,0.0,0.0,0.001,False,hinge,l2,0.001,,,,,,,,73,0.001,False,hinge,l2,0.001
16,6.0438250541687015,1.841275107569624,0.0,0.0,0.001,False,hinge,l2,0.0001,,,,,,,,73,0.001,False,hinge,l2,0.0001
17,7.121885824203491,1.4380633570928756,0.0,0.0,0.001,False,hinge,l2,1e-05,,,,,,,,73,0.001,False,hinge,l2,1e-05
18,9.979096603393554,2.1910968707430807,2.862097644805908,1.797117019957316,0.001,False,squared_hinge,l1,0.001,0.3796503244412401,0.3810922855082913,0.3821377072819034,0.3807317952415285,0.37833453496755587,0.38038932948810383,0.0012989660387709837,49,0.001,False,squared_hinge,l1,0.001
19,10.750836658477784,3.277371165719531,1.7344275951385497,0.30053415138365913,0.001,False,squared_hinge,l1,0.0001,0.3796503244412401,0.3811463590483057,0.38204758471521266,0.3807498197548666,0.37817231434751264,0.3803532804614275,0.0013347392492140924,50,0.001,False,squared_hinge,l1,0.0001
20,11.882372999191285,2.909680745229402,1.9207136154174804,0.608586885587238,0.001,False,squared_hinge,l1,1e-05,0.37963229992790193,0.3811463590483057,0.38204758471521266,0.3807498197548666,0.37817231434751264,0.3803496755587599,0.0013366559096305876,51,0.001,False,squared_hinge,l1,1e-05
21,9.315678310394286,2.563567708338322,2.305711030960083,1.0984554003757439,0.001,False,squared_hinge,l2,0.001,0.40666906993511176,0.40767844268204756,0.40722782984859407,0.40495674116798847,0.4082732516222062,0.40696106705118956,0.0011322723255568566,43,0.001,False,squared_hinge,l2,0.001
22,7.549241209030152,2.0690921756272993,2.634653091430664,0.7690516671409497,0.001,False,squared_hinge,l2,0.0001,0.40672314347512617,0.407732516222062,0.4071016582552271,0.40486661860129775,0.4082372025955299,0.4069322278298486,0.0011560782907125854,48,0.001,False,squared_hinge,l2,0.0001
23,8.030556440353394,1.8995286862107361,1.9850279808044433,0.8572021404100384,0.001,False,squared_hinge,l2,1e-05,0.406705118961788,0.4076964671953857,0.4071016582552271,0.4049206921413122,0.40829127613554433,0.4069430425378514,0.0011451681316519723,44,0.001,False,squared_hinge,l2,1e-05
24,6.964503002166748,2.4377579790593766,0.0,0.0,0.01,True,hinge,l1,0.001,,,,,,,,73,0.01,True,hinge,l1,0.001
