,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_split,param_min_samples_leaf,param_max_leaf_nodes,param_max_depth,param_criterion,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,min_samples_split,min_samples_leaf,max_leaf_nodes,max_depth,criterion
0,4.103609180450439,1.4695059434729147,2.632925844192505,1.1015208484041337,800,400,100,2,entropy,0.535561527688406,0.5277262576176237,0.5162950906544532,0.5117972140910467,0.5067881296053296,0.5196336439313718,0.010552257447373271,39,800,400,100,2,entropy
1,6.079291772842407,0.6558100869011961,1.1684579372406005,0.28548932106967234,100,850,40,40,entropy,0.542021524912626,0.5522792939424909,0.5497053887984658,0.5427223175532452,0.5422554759261129,0.545796800226588,0.004325411300835218,26,100,850,40,40,entropy
2,7.0602611064910885,0.29333472307206027,1.5490226745605469,0.4420932777676656,450,400,90,47,entropy,0.5641268279142536,0.566410537870472,0.56258753170067,0.5537624911678611,0.5500025234682547,0.5593779824243021,0.006352047683007652,6,450,400,90,47,entropy
3,6.322772979736328,0.8626311096045468,1.4811792850494385,0.6499589570564465,700,250,10,35,entropy,0.5400910960546071,0.5529353874105757,0.5389176981213016,0.5290325022711214,0.5264207126274352,0.5374794792970082,0.009395976290073141,37,700,250,10,35,entropy
4,5.903327608108521,1.830034476315573,1.2590305805206299,0.8257250276103789,250,850,30,20,entropy,0.5375045737285035,0.554714410083652,0.5449613283369292,0.5406152215605128,0.5323256283435954,0.5420242324106386,0.007564954578593557,34,250,850,30,20,entropy
5,5.7402793884277346,0.9026820651363083,1.179129695892334,0.19665843881608458,450,500,100,34,entropy,0.5649847962955954,0.5667764361507501,0.5635716719027972,0.5602478045826184,0.5521348541435349,0.5615431126150592,0.0051679989345174634,1,450,500,100,34,entropy
6,5.887070608139038,0.1333610312925639,1.2754616260528564,0.4310508820302467,550,300,60,34,entropy,0.5576920650541908,0.561792649229721,0.5580705805165475,0.5488417280710609,0.5457757141415162,0.5544345474026072,0.006070071532905018,13,550,300,60,34,entropy
7,2.7392484664916994,0.38171752614239257,0.0,0.0,800,600,0,42,entropy,,,,,,,,41,800,600,0,42,entropy
8,1.2205582141876221,0.21778712616368695,0.0,0.0,250,250,0,1,entropy,,,,,,,,41,250,250,0,1,entropy
9,0.9551338195800781,0.18609757837715687,0.0,0.0,0,850,50,20,entropy,,,,,,,,41,0,850,50,20,entropy
10,4.490588188171387,1.07211767162683,2.7984612941741944,0.833316182998868,50,250,90,3,entropy,0.5395359400431508,0.5335175441916802,0.5219349710435671,0.5170081760371454,0.5114313111941052,0.5246855885019297,0.01039923850782303,38,50,250,90,3,entropy
11,5.690444898605347,0.6855914253517608,1.5801144123077393,0.3900408621961013,600,350,80,1,entropy,0.535561527688406,0.5277262576176237,0.5162950906544532,0.5117972140910467,0.5067881296053296,0.5196336439313718,0.010552257447373271,39,600,350,80,1,entropy
12,5.765928506851196,0.5182833819819979,1.1602635860443116,0.22529897232491386,800,750,20,9,entropy,0.5500460527145867,0.5514970286536205,0.5441285943197446,0.5385081255677804,0.536565055011608,0.5441489712534681,0.005968330723874514,30,800,750,20,9,entropy
13,6.392526912689209,0.5882967632022582,1.643043041229248,0.7046698150436191,800,200,50,27,entropy,0.5507273805468287,0.5584869475251397,0.5581210492448616,0.5476556979913193,0.5441606944584637,0.5518303539533227,0.005680687717784699,20,800,200,50,27,entropy
14,4.911012315750122,0.7393720754745726,2.0579875469207765,0.5306306234629548,600,350,90,6,entropy,0.5422107826438043,0.5535031606041106,0.5471693352006762,0.5404890481477743,0.5393156354093066,0.5445375924011344,0.00522266354282716,29,600,350,90,6,entropy
15,6.840600776672363,0.509480092879983,1.5981016159057617,0.8179844959489811,750,50,80,34,entropy,0.5612627275824218,0.5648081557464956,0.5618431179580352,0.552942363985061,0.5477818714040578,0.5577276473352143,0.006346414511797195,8,750,50,80,34,entropy
16,6.053461790084839,0.956305200610377,1.2345310211181642,0.26509665201462934,300,150,50,18,entropy,0.5500839042608224,0.558562650617611,0.5581210492448616,0.5477566367215101,0.5439461996568083,0.5516940881003227,0.005772503292297983,21,300,150,50,18,entropy
17,6.2535230159759525,0.6386661861427437,2.169984149932861,0.7087018046182426,650,600,80,28,entropy,0.5635842890848758,0.5658932334052512,0.5617295633193282,0.5564373675179166,0.551213788230544,0.5597716483115832,0.005295240551295147,4,650,600,80,28,entropy
18,5.3054341793060305,0.5885179518938148,1.632966899871826,0.7550763808277547,700,950,80,31,entropy,0.55394476197686,0.5638997186368396,0.5619440554146636,0.5566644796608459,0.5504315130715656,0.5573769057521549,0.004978585849130649,9,700,950,80,31,entropy
