,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_splitter,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,splitter,min_samples_split,min_samples_leaf,max_features,max_depth,criterion
0,1.0932965278625488,0.1257591301696721,0.10936665534973145,0.003073526655976495,random,33,18,log2,20,gini,0.283759913482336,0.2754145638067772,0.28889689978370586,0.2768925739005047,0.2809841384282624,0.2811896178803172,0.004855237834381133,34,random,33,18,log2,20,gini
1,1.0267523288726808,0.10100686308014847,0.15933127403259278,0.06719235449241406,best,6,46,sqrt,3,entropy,0.21746575342465754,0.21404109589041095,0.2167267483777938,0.21751982696467195,0.21548305695746214,0.21624729632299927,0.0013255359951365728,48,best,6,46,sqrt,3,entropy
2,1.6783283710479737,0.17857545455036464,0.10970058441162109,0.0014418013634679217,random,30,35,auto,46,entropy,0.37231434751261716,0.3781182408074982,0.370746214852199,0.365717375630858,0.36173395818312903,0.3697260273972603,0.005623377787300028,11,random,30,35,auto,46,entropy
3,1.0687320232391357,0.02797813742039168,0.10608587265014649,0.0010038745978582812,random,49,28,log2,45,gini,0.3112653208363374,0.3318673395818313,0.3166366258111031,0.30558759913482336,0.31398702235039655,0.3158687815428983,0.008797488550590411,26,random,49,28,log2,45,gini
4,8.544052982330323,0.27487570499926245,0.10876607894897461,0.0016304235312979136,random,19,7,,24,gini,0.4315068493150685,0.43047945205479454,0.4329488103821197,0.4232876712328767,0.4277937995674117,0.42920331651045424,0.0034042651693132146,5,random,19,7,,24,gini
5,1.0536435127258301,0.1362520058834745,0.10501279830932617,0.0027080306595794663,random,12,37,log2,16,entropy,0.24736842105263157,0.26377072819033887,0.2505587599134823,0.24459264599855804,0.24105984138428263,0.24947007930785867,0.0078055391736976025,41,random,12,37,log2,16,entropy
6,10.870797061920166,0.3150939540119613,0.11833877563476562,0.008165500094320044,random,32,11,,49,entropy,0.45600216294160056,0.4518204758471521,0.45513698630136984,0.45501081470800286,0.4551910598413843,0.45463229992790194,0.0014486596392954327,1,random,32,11,,49,entropy
7,6.63394832611084,0.0961392057538353,0.10994935035705566,0.005877564114696361,best,32,9,,16,entropy,0.41142754145638066,0.40315428983417445,0.4078046142754146,0.40739005046863735,0.40789473684210525,0.40753424657534243,0.0026292816710304463,8,best,32,9,,16,entropy
8,1.2614693641662598,0.01374928293067218,0.10543251037597656,0.0008438468645475372,best,20,28,auto,20,gini,0.3209805335255948,0.29576423936553714,0.2939617880317231,0.28749098774333093,0.29525955299206924,0.298691420331651,0.011532300556916909,31,best,20,28,auto,20,gini
9,0.9015342712402343,0.012608549484497135,0.10194001197814942,0.002087465427646949,best,46,29,log2,5,entropy,0.2149603460706561,0.21454578226387888,0.21625811103100218,0.21602379235760635,0.2148702235039654,0.2153316510454218,0.0006790817628265633,49,best,46,29,log2,5,entropy
10,1.4427727222442628,0.015851302040419832,0.10897612571716309,0.004276186011516906,random,35,46,sqrt,43,entropy,0.3722782984859409,0.360183850036049,0.3723323720259553,0.36364455659697187,0.360183850036049,0.36572458543619324,0.005519782892018264,13,random,35,46,sqrt,43,entropy
11,6.803183507919312,0.03188481229271285,0.10689058303833007,0.0007674310256282231,best,21,40,,18,entropy,0.41276135544340303,0.40367700072098056,0.41070656092285507,0.4083093006488825,0.41032804614275414,0.40915645277577506,0.0030826239172222986,7,best,21,40,,18,entropy
12,1.4858375549316407,0.025919810325371145,0.10838651657104492,0.0008668742293850655,best,44,40,sqrt,42,gini,0.37534246575342467,0.36905191059841386,0.3397801009372747,0.36144556596971883,0.34906272530641674,0.3589365537130498,0.012978687974160184,16,best,44,40,sqrt,42,gini
13,1.5873165607452393,0.02090764160877704,0.11091632843017578,0.002579320069439044,best,35,16,sqrt,45,gini,0.3833633741888969,0.3726387887527037,0.35155010814708004,0.36332011535688535,0.3705839942321557,0.36829127613554424,0.010548030214803342,12,best,35,16,sqrt,45,gini
14,1.0413920402526855,0.01815056118986755,0.10692181587219238,0.0007954496313964987,random,14,38,log2,46,entropy,0.30942682047584713,0.3283165104542177,0.30812905551550107,0.3105263157894737,0.3128695025234319,0.31385364095169427,0.007397051214772096,27,random,14,38,log2,46,entropy
15,0.913544750213623,0.01106533477219907,0.10211281776428223,0.0016240295852410832,best,18,18,auto,2,entropy,0.21344628695025233,0.21038211968276857,0.21240086517664022,0.21261715933669792,0.210310021629416,0.211831290555155,0.0012621072624157976,50,best,18,18,auto,2,entropy
16,1.3585402965545654,0.0432550496111303,0.10560507774353027,0.001162859263066556,best,16,48,auto,30,entropy,0.3614275414563807,0.3338139870223504,0.323972602739726,0.31427541456380675,0.3202054794520548,0.3307390050468637,0.01660741373206649,22,best,16,48,auto,30,entropy
17,0.9554949760437011,0.00916298761018892,0.10453095436096191,0.0006154610663779686,random,7,17,log2,17,entropy,0.2533705839942322,0.27218817591925015,0.2496935832732516,0.2557498197548666,0.24841384282624368,0.2558832011535689,0.008559041079732491,39,random,7,17,log2,17,entropy
18,1.1304241180419923,0.01791685373884699,0.10361709594726562,0.002798394481026926,best,22,24,sqrt,13,entropy,0.2807678442682048,0.2641852919971161,0.27759552992069214,0.2722062004325883,0.27770367700072096,0.27449170872386447,0.005844417806749132,36,best,22,24,sqrt,13,entropy
